names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
College Ready Academy HS # 16,1575 West Second St.,"Los Angeles, CA 90007-1326",,2011,,,Approved,,-119.4179324,36.778261
Nuevo Sol Charter School,1218 4th st,"San Fernando, CA 91340",213-446-6488,2011,,,Approved,,-118.438461,34.287629
Synergy Quantum Academy,300 East 53rd St.,"Los Angeles, CA 90011",,2011,,12-Sep,Approved,STEM focused high school.,-118.2436849,34.0522342
Wildflower Open Classroom Charter School,,"Chico, CA 95927",530-518-1386,2011,,K-8,Approved,"Encourages interactive lessons, outdoor learning, field trips and community service projects.",-121.8374777,39.7284944
Academy for Recording Arts,14115 Chadron Ave.,"Hawthorne, CA 90250",,2006,,,Closed,Financial - Fiscal instability.,-118.3286837,33.9029509
Animo Film and Theater Arts High School,"2009 Martin Luther King, Jr.","Los Angeles, CA 90007",,2006,,,Closed,Financial - Inadequate enrollment.,-118.315521,34.011179
Animo Justice Charter High School,1655 East 27th St. Ste. A,"Los Angeles, CA 90011",,2006,,,Closed,Financial - Inadequate enrollment.,-118.2444037,34.0126106
Arts and Ethics Academy Charter School,3360 Coffey Ln. A-2,"Santa Rosa, CA 95403",,2007,,,Closed,Unknown,-122.744437,38.472268
Camino Real Community Partnership Academy,1301 N. A St.,"Lompoc, CA 93436",,2008,,,Closed,Unknown,-120.450215,34.658716
Challenge Charter High School,2120-B Robinson St.,"Oroville, CA 95965",,1998,,,Closed,Other - Chose not to renew their charter.,-121.5532084,39.5129769
Design High School of Los Angeles,1501 Wilshire Blvd.,"Los Angeles, CA 90017",,2007,,,Closed,Financial - Inadequate enrollment.,-118.268354,34.0547351
East Palo Alto Academy - Elementary School,2037 Pulgas Ave.,"East Palo Alto, CA 94303",,2006,,,Closed,Academic - Poor academic performance.,-122.13012,37.462238
Giraffe Charter Elementary School,611 S. Lorena Ave.,"Los Angeles, CA 90023",,2008,,,Closed,Financial - Inadequate enrollment.,-118.199474,34.030634
Memorial Academy of Learning and Technology,2850 Logan Ave.,"San Diego, CA 92113",,1995,,,Closed,Consolidation - Converted into traditional public school.,-117.132903,32.6970875
Plumas Lake Charter School,2743 Plumas School Rd.,"Marysville, CA 95901",,2004,,,Closed,Financial - Inadequate enrollment.,-121.5913547,39.1457253
Russian River Charter School,10940 River Rd.,"Forestville, CA 95436",,2002,,,Closed,Financial - Could not remain financially stable.,-122.929696,38.507166
Urban Academy High School,"5150 W. Goldleaf Circle, Ste. 401","Los Angeles, CA 90056",,2007,,,Closed,,-118.3687538,33.9892432
Academy at High Point,6192 Genoa St.,"Aurora, CO 80019",303-217-5152,2006,400,PreK-8,Open,Core Knowledge curriculum.,-104.7560766,39.6041721
Academy Charter School,1551 Prairie Hawk Dr.,"Castle Rock, CO 80109",303-660-4881,1993,544,K-8,Open,Emphasizes high academic standards based on the Core Knowledge curriculum. Offers a home school support program for middle school students.,-104.871428,39.383516
Academy for Advanced & Creative Learning (AACL),2510 N. Chestnut St.,"Colorado Springs, CO 80907",719-434-6566,2010,160,K-8,Open,"Features advanced content, differentiated instruction, and big ideas.",-104.837342,38.868271
Academy of Charter Schools,11800 Lowell Blvd.,"Westminster, CO 80031",303-289-8088,1993,1200,K-12,Open,Employs the Core Knowledge curriculum.,-105.033494,39.912002
Academy of Urban Learning (AUL),835 E. 18th Ave.,"Denver, CO 80218",303-282-0900,2005,60,9-12+,Open,"Provides a rigorous and relevant high school diploma completion program for youth who need extensive wraparound services to succeed academically, transition to careers, or go on to higher education.",-104.9765945,39.7449971
ACE Community Challenge School,948 Santa Fe Dr.,"Denver, CO 80204",303-436-9588,2000,60,10-Aug,Open,"Serves at-risk students or underserved students. Uses a unique and responsive model to integrate technology throughout its services and curriculum in order to equip, empower and educate its students.",-104.99854,39.7314789
Alta Vista Charter School,8785 County Road LL,"Lamar, CO 81052",719-336-2154,1998,111,K-6,Open,"Attributes, traditions and virtues of a rural country school. Emphasis on a structured educational environment, parental involvement and commitment to treating each child as a unique individual.",-102.4488362,38.1290144
American Academy at Castle Pines,"8600 Park Meadows Dr., Ste. 100","Lone Tree, CO 80124",720-873-7395,2005,510,K-8,Open,"Provides challenging, sequenced curriculum that emphasizes math, science and technology.",-104.890113,39.56033
Animas High School,3206 Main Ave,"Durango, CO 81301",970-247-2474,2009,400,12-Sep,Open,Project- based learning,-107.870133,37.300936
Aspen Community School,1199 Woody Creek Road,"Woody Creek, CO 81656",970-923-4080,1995,120,K-8,Open,"Focuses on whole student, individualized learning, team teaching, student responsibility, democracy, caring, outdoor education and an innovative apprentice/mentorship program.",-106.877195,39.2765362
Atlas Preparatory School,1602 S Murray Blvd,"Colorado Springs, CO 80916",719-358-7196,2009,200,6-May,Open,"College preparatory program that features longer school days, school year and after school tutoring. Will expand to grade 8.",-104.750563,38.81057
Aurora Academy,10251 E. 1st Ave.,"Aurora, CO 80010",303-367-5983,2000,475,K-8,Open,Core Knowledge program. Focus on academic achievement and character development.,-104.8696023,39.718358
Aurora Expeditionary Learning (AXL) Charter School,14100 E. Jewell Ave.,"Aurora, CO 80012",303-377-0758,2008,240,K-5,Open,Will feature same-sex classrooms in all grades.,-104.824569,39.681128
Banning Lewis Ranch Academy,7094 Cottonwood Tree Dr.,"Colorado Springs, CO 80927",719-570-0075,2006,500,K-8,Open,Content-rich Paragon Curriculum that combines humanities with high tech learning.,-104.675074,38.933221
Battle Rock Charter School,11247 Country Road G,"Cortez, CO 81321-9546",970-565-3237,1994,27,K-6,Open,Focus on core curriculum and building a solid foundation for students.,-121.3105698,38.5739122
Belle Creek Charter School,9290 E. 107th Ave.,"Henderson, CO 80640",303-468-0160,2003,633,K-8,Open,Montessori Curriculum or Core Knowledge Curriculum.,-104.8794612,39.8919421
Black Forest School - Pikes Peak School of Expeditionary Learning,5450 Meridian Road,"Falcon, CO 80831",719-683-9544,1999,180,PreK-8,Open,"Expeditionary Learning Outward Bound school using the hands-on, integrated curriculum that emphasizes learning expeditions that can run from several days to a semester or more.",-104.6078058,38.9110204
Boulder Preparatory High School,5075 Chaparral St. Unit 1,"Boulder, CO 80301",303-545-6186,1997,93,12-Sep,Open,Year round schedule. Serves at-risk youth. College prep block system. Allows students to complete high school requirements within 2-3 years.,-105.2031856,40.0670931
Bromley East Charter School,356 Longspur Dr.,"Brighton, CO 80601",720-685-3297,2001,820,K-8,Open,Montessori program as well as a standards-based Core Knowledge program.,-104.745533,39.982423
Caprock Academy,640 24 1/2 Rd,"Grand Junction, CO 81505",970-243-1771,2007,350,K-8,Open,"Core Knowledge curriculum, with focus on Latin and other foreign language lessons beginning in kindergarten.",-108.598131,39.098113
Carbon Valley Academy,4040 Coriolis Way,"Frederick, CO 80504",303-774-9555,2005,294,PreK-7,Open,"Uses the Core Knowledge curriculum centered on character traits such as patriotism, respect and personal responsibility.",-104.977967,40.113168
Carbondale Community School,1505 Satank Rd.,"Carbondale, CO 81623",970-963-9647,1996,121,K-8,Open,"Progressive, experiential education. Focus on individualized learning, team teaching, outdoor education and an innovative apprentice/mentorship program.",-107.2240694,39.4101324
Cardinal Community Academy,3101 Weld County Rd. 65,"Keenesburg, CO 80643",303-732-9312,2000,130,K-8,Open,Small rural school that utilizes the Core Knowledge Sequence as its curricular foundation.,-104.452757,40.045105
Cesar Chavez Academy - Central,1131 N. Union,"Colorado Springs, CO 80909",719-227-7152,2007,100,K-5,Open,"Prepares children for success as young scholars, citizens of the world and community leaders by providing them with an ambitious academic program in a supportive and challenging learning environment.",-104.7942068,38.8485502
Cesar Chavez Academy - North Central,3115 Larkspur Dr.,"Colorado Springs, CO 80907",719-227-7152,2008,400,K-8,Open,"Prepares children for success as young scholars, citizens of the world and community leaders by providing them with an ambitious academic program in a supportive and challenging learning environment.",-104.8008242,38.8762109
Cesar Chavez Academy - Pueblo,2500 W. 18th St.,"Pueblo, CO 81003",719-295-1623,2001,800,PreK-8,Open,"Prepares children for success as young scholars, citizens of the world and community leaders by providing them with an ambitious academic program in a supportive and challenging learning environment.",-104.650597,38.282808
Cesar Chavez Academy-Denver,3752 Tennyson St.,"Denver, CO 80212",303-455-0848,2009,333,K-8,Open,,-105.0438882,39.7687714
Challenge to Excellence Charter School,16995 E. Carlson Dr.,"Parker, CO 80134",303-841-9816,2002,487,K-8,Open,"Uses the Paideia method which emphasizes teaching through coaching, seminar discussions and textbooks.",-104.79065,39.546498
Cherry Creek Academy,6260 S. Dayton,"Englewood, CO 80111",303-779-8988,1995,450,K-8,Open,"Fundamentals in language, math, science and humanities using the Core Knowledge curriculum.",-104.874795,39.6027739
Cheyenne Mountain Charter Academy,1832 S. Wahsatch,"Colorado Springs, CO 80906",719-471-1999,1995,967,K-10,Open,"Based on the Core Knowledge Series with particular emphasis on discipline, character development, parental involvement and low student-teacher ratios.",-104.8190939,38.8074972
CIVA Charter School,4635 Northpark Dr.,"Colorado Springs, CO 80918",719-633-1306,1997,144,12-Sep,Open,"CIVA stands for Character, Integrity, Vision, and the Arts and provides a character-based, college preparatory program that emphasizes the special talents, attitudes and aptitudes of each student.",-104.826128,38.899018
Classical Academy - Central Campus,1655 Springcrest Rd.,"Colorado Springs, CO 80920",719-265-9766,1997,460,K-5,Open,Program based upon the Core Knowledge Sequence. Comprehensive phonics and literature program using the Spalding method and mastery of mathematics using Saxon Math in the elementary grades.,-104.795498,38.968527
Classical Academy - East Campus,8650 Scarborough Dr.,"Colorado Springs, CO 80920",719-282-1181,1997,500,K-6,Open,Core Knowledge Sequence.,-104.738934,38.961401
Classical Academy Elementary School - North Campus,975 Stout Road,"Colorado Springs, CO 80921",719-484-0081,1997,2800,K-12,Open,Core Knowledge Sequence. Comprehensive phonics and literature program using the Spalding method and mastery of mathematics using Saxon Math.,-104.815578,39.01755
Classical Academy Secondary School - North Campus,975 Stout Rd.,"Colorado Springs, CO 80921",719-484-0091,1997,700,12-Jul,Open,Core Knowledge Sequence.,-104.815578,39.01755
Collegiate Academy,8420 S. Sangre De Cristo Road,"Littleton, CO 80127",303-972-7433,1994,480,K-12,Open,"College-prep program includes a liberal arts curriculum, with a science-math-technology focus.",-105.1140082,39.5671391
Colorado Calvert Academy,155 E. Boardwalk Dr. Suite 547,"Ft. Collins, CO 80525",970-232-3317,2010,276,K-8,Open,Virtual school program to empower children to reach their full academic potential.,-105.07659,40.532377
Colorado Distance and Electronic Learning Academy (CDELA),"4700 E. Bromley Ln., Ste. 205","Brighton, CO 80601",303-637-9234,2006,200,K-12,Open,Home based virtual school that combines direct parent involvement with virtual education. Will expand to 12.,-104.7586929,39.971279
Colorado High School,2651 11th St. Road,"Greeley, CO 80631",970-353-6132,1996,100,12-Sep,Open,"Students, parents and staff develop a self-directed learning plan for each student based upon the school districts graduation requirements.",-104.724169,40.421103
Colorado High School Charter,1175 Osage St.,"Denver, CO 80204",303-892-8475,2002,130,12-Oct,Open,"Small classes, monthly progress reports, attendance make-up, tutoring and a staff mentoring program.",-105.005717,39.734907
Colorado Springs Charter Academy,2577 N. Chelton Rd.,"Colorado Springs, CO 80909",719-636-2722,2005,425,K-8,Open,"Core Knowledge curriculum, Open Court Reading and Saxon Math, in an extended year. Emphasizes parental involvement, uniforms and character education.",-104.7726823,38.869329
Colorado Springs Early Colleges,4435 N. Chestnut,"Colorado Springs, CO 80907",719-528-6062,2007,330,12-Sep,Open,Small school setting where students take college level course work in addition to receiving a high school diploma.,-104.833923,38.8943889
Colorado Virtual Academy,"11990 Grant St., Ste. 402","Northglenn, CO 80233",303-255-4650,2001,5000,K-12,Open,An online education program that combines powerful technology with a traditional curriculum.,-104.9850798,39.913513
Community Leadership Academy,6880 Holly St.,"Commerce City, CO 80022",303-288-2711,2005,345,K-8,Open,"College-prep. Rigorous and creative educational atmosphere. Focus on character development, civic leadership and community involvement.",-104.922073,39.820288
Community Prep School,332 E. Willanette Ave.,"Colorado Springs, CO 80903",719-227-8836,1995,170,9-12+,Open,"Modified Paideia approach. School has partnerships with the Private Industry Council, Job Training Partnership and 17 school districts in El Paso County.",-104.818122,38.842783
Compass Montessori Charter School- Wheat Ridge Charter School,10399 W. 44th Ave.,"Wheat Ridge, CO 80033",303-420-8288,1998,250,PreK-6,Open,Stresses multi-sensory learning and individualized learning in multi-aged classrooms. Authentic Montessori curriculum and Montessori certified teachers.,-105.11398,39.778691
Compass Montessori School - Golden Campus,4441 Salvia St.,"Golden, CO 80403",303-271-1977,2001,305,PreK-12,Open,Stresses multi-sensory learning and individualized learning in multi-aged classrooms. Authentic Montessori curriculum and Montessori certified teachers.,-105.1891474,39.7723105
Connect School,104 E. 7th St.,"Pueblo, CO 81003",719-542-0224,1993,176,8-Jun,Open,Core Knowledge curriculum. Focus on discipline.,-104.6070228,38.2734245
Core Knowledge Charter School,11661 Pine Dr.,"Parker, CO 80138",303-840-7070,1994,414,K-8,Open,School program based on Core Knowledge curriculum.,-104.757251,39.531967
Corridor Community Academy,420 Seventh St.,"Bennett, CO 80102",303-644-5180,2004,130,K-8,Open,Safe and disciplined environment. Academic achievement through a climate of excellence and respect.,-104.4254509,39.758395
Crestone Charter School,67487 County Road T,"Crestone, CO 81131",719-256-4907,1995,64,K-12,Open,"Emphasizes academic excellence and integrated and experiential education within small multi-age classrooms. Includes tutoring, mentoring, independent study and individual learning plans.",-105.7353382,37.9880026
Crown Pointe Academy of Westminster,7281 Irving St.,"Westminster, CO 80030",303-428-1882,1997,225,K-8,Open,"Challenging, content-rich curriculum based on the Core Knowledge Sequence. Spanish taught as a second language beginning in Kindergarten.",-105.03167,39.828624
DCS Montessori School,311 E. Castel Pines Pkwy.,"Castle Rock, CO 80108",303-387-5625,1997,420,PreK-6,Open,Accredited Montessori education.,-104.880471,39.472017
Deep River Charter School,2813 Patterson Rd.,"Grand Junction, CO 81506",970-255-8565,2004,91,12-Mar,Open,"Uses Outward Bounds expeditionary learning approach. Borrows theories from Gardners multiple intelligences model and theories, which promote self-direction and experiential learning.",-108.530462,39.091399
Denver Big Picture High School - Skyland Community High,1619 E. 35th Ave,"Denver, CO 80205",303-388-4759,2003,150,12-Sep,Open,Core Knowledge sequence.,-104.967848,39.7657844
Denver Language School,"7350 E. 29th Ave., Suite 300","Denver, CO 80238",303-468-3224,2010,200,K-2,Open,Spanish and Mandarin immersion school. Will expand to grade 8.,-104.9021475,39.7579592
Denver School of Science and Technology,2000 Valentia St.,"Denver, CO 80238",303-320-5570,2004,430,12-Jun,Open,"Science and technology in partnership with the Community College of Aurora. Provides opportunities to participate in college courses, internships, job sharing and service projects.",-104.890165,39.747817
Denver School of Science and Technology - Green Valley Ranch Campus,"4800 Telluride St., Building 3","Denver, CO 80249",303-524-6300,2010,850,12-Jun,Open,Focus on science and technology.,-104.7795919,39.780147
Denver School of Science and Technology - Middle School,2000 Valentia St.,"Denver, CO 80238",303-320-5570,2008,140,8-Jun,Open,Science and technology in partnership with the Community College of Aurora.,-104.890165,39.747817
Dinosaur Community Charter School,104 School St.,"Dinosaur, CO 81610",970-374-2265,2004,27,K-12,Open,Features small classes utilizing a hands-on approach supported by an unsurpassed use of technology and the Harcourt Publishers curriculum.,-109.0145267,40.2436071
Dolores Huerta Preparatory High School,2727 W. 18th St.,"Pueblo, CO 81003",719-583-1030,2004,427,12-Sep,Open,Early high school program that allows students to take college classes and earn an associates degree.,-104.651257,38.285615
Eagle County Charter Academy,1105 Miller Ranch Road,"Edwards, CO 81632",970-926-0656,1994,288,K-8,Open,"Personalized education plans emphasizing academic standards and assessment, while fostering self-confidence, independence and critical thinking.",-106.568753,39.641626
Eagle Ridge Academy,3551 Southern St.,"Brighton, CO 80601",303-655-0773,2010,225,12-Sep,Open,"College preparatory. A strong Science, Technology, Engineering and Math (STEM) path.",-104.7816885,39.9808796
Early College High School of Arvada,4905 W. 60th Ave.,"Arvada, CO 80003",720-479-3475,2008,64,10-Sep,Open,Students take college level classes so students leave with a high school diploma and college credits.,-105.050451,39.806158
Emerson - Edison Partnership School,4220 E. Pikes Peak Ave.,"Colorado Springs, CO 80909",719-570-7822,1997,450,8-Jun,Open,"Rigorous academics, technology and a longer school day and year.",-104.751184,38.836214
Excel Academy,11500 W. 84th Ave,"Arvada, CO 80005",303-467-2295,1995,365,K-8,Open,"Integrated educational environment preparing students to be independent, critical thinkers. Stresses mastery of basic skills along with appreciation and respect for individual learning styles and needs.",-105.128752,39.850435
Flagstaff Academy,2040 Miller Dr,"Longmont, CO 80501",303-651-7900,2005,717,K-8,Open,Uses the Core Knowledge curriculum with a focus on the liberal arts and sciences.,-105.1277238,40.1399205
Foundations Academy,340 S. 45th Ave.,"Brighton, CO 80601",303-659-9516,2010,400,K-5,Open,,-104.760642,39.982585
Free Horizon Montessori,581 Conference Place,"Golden, CO 80401",303-231-9801,2002,185,PreK-6,Open,Traditional Montessori method including the use of Montessori materials.,-105.190409,39.719797
Frontier Academy,2560 W. 29th St.,"Greeley, CO 80631",970-330-1780,1997,1025,K-12,Open,Curriculum based on the Core Knowledge Sequence with integrated humanities and an honors track for secondary education.,-104.723381,40.390057
Frontier Charter Academy,488 Yoder St.,"Calhan, CO 80808",719-347-3156,2001,50,K-5,Open,"Core Knowledge curriculum supported by Open Court Reading, Spalding Language Arts and Saxon Math.",-104.292443,39.036363
Georgetown Community School,504 4th St.,"Georgetown, CO 80444",303-569-3277,2006,140,PreK-6,Open,Open Court Reading and Saxon Math in a Core Knowledge curriculum.,-105.6958523,39.7046441
Girls Athletic Leadership School (GALS),200 S. University Blvd.,"Denver, CO 80209",720-315-0176,2010,120,7-Jun,Open,School provides an innovative educational option that uses health and wellness. All girls school.,-104.958014,39.71201
Global Village Academy,403 S. Airport Blvd.,"Aurora, CO 80017",303-362-1825,2007,248,K-5,Open,,-104.793493,39.710386
GLOBE Charter School,2132 E. Bijou St.,"Colorado Springs, CO 80909",719-630-0577,2000,180,K-12,Open,"Curriculum focusing on world culture, earth sciences and global issues. Foreign languages, service learning and community and university involvement are also offered.",-104.788963,38.8358909
GOAL Academy,3273 Dillon Dr.,"Pueblo, CO 81003",719-545-4704,2008,597,12-Sep,Open,Program of individualized learning for students who learn better in a non-traditional schooling environment. Students can take college courses.,-104.606543,38.3025359
Guffey Community Charter School,1459 Main St.,"Guffey, CO 80820",719-689-2093,1999,30,PreK-8,Open,Core curriculum and strong discipline.,-105.521041,38.7509439
Highline Academy Charter School,7808 Cherry Creek Dr. S.,"Denver, CO 80231",720-449-0317,2004,450,K-8,Open,"Core Knowledge curriculum within a content-rich, safe disciplined environment. Focuses on character development and respect for diversity.",-104.899733,39.679173
Hope Online Learning Academy Co-op,"2001 E. Easter Ave., Ste. 202","Centennial, CO 80122",303-989-3539,2005,3142,K-12,Open,Targets at-risk students. Innovative learning model that includes online curriculum access to mentoring and technology.,-104.965188,39.589422
Horizons K-8 Alternative Charter School,4545 Sioux Dr.,"Boulder, CO 80303",303-447-5581,1997,300,K-8,Open,"Guides students to become self-directed learners and community contributors in a noncoercive, mutually caring learning environment. School offers a rich integrated curriculum.",-105.2375329,39.9935118
Imagine Charter School at Firestone,5753 Twilight Ave.,"Firestone, CO 80504",303-772-3711,2008,660,PreK-8,Open,"Core Knowledge curriculum to develop students into productive, virtuous citizens.",-104.94672,40.1628507
Imagine Classical Academy at Forest Meadows,6464 Peterson Rd.,"Colorado Springs, CO 80923",719-495-7360,2009,770,K-8,Open,Core Knowledge curriculum.,-104.6923438,38.923039
Imagine Classical Academy at Indigo Ranch,7110 Sand Lakes Heights,"Colorado Springs, CO 80908",719-495-7360,2008,600,K-7,Open,Core Knowledge curriculum and character and college preparatory education. Will expand to grade 8.,-104.6821048,39.0680077
Independence Academy,600 North 14th St.,"Grand Junction, CO 81501",970-254-6850,2004,211,K-8,Open,,-108.5485,39.073112
Indian Peaks Charter School,91 W. Diamond Ave.,"Granby, CO 80446",970-887-3805,2000,40,K-8,Open,"Uses Core Knowledge Curriculum. Emphasis on solid foundation of knowledge, virtuous character and passion for learning. Offers foreign language, fine arts, music and PE.",-105.9402108,40.0893115
James Irwin Charter Elementary School,1626 S. Murray Blvd.,"Colorado Springs, CO 80916",719-576-8055,2003,350,K-5,Open,Core Knowledge school with single sex classrooms. Each student will have two periods of English and Math per day.,-104.7518198,38.8089811
James Irwin Charter High School,5525 Astrozon Blvd.,"Colorado Springs, CO 80916",719-576-8055,1999,330,12-Sep,Open,"College preparatory high school, offering academically rigorous core classes in English, math, science, history, world languages and ethics. Modeled on the US Air Force Academy.",-104.724748,38.797176
James Irwin Charter Middle School,5525 Astrozon Blvd.,"Colorado Springs, CO 80916",719-576-8055,2003,370,8-Jun,Open,Core Knowledge School with single sex classrooms. Each student has two periods of English and Math per day.,-104.724748,38.797176
James Madison Charter Academy,660 Syracuse St.,"Colorado Springs, CO 80911",719-391-3977,2005,171,K-6,Open,"Core Knowledge curriculum. Project-based learning. Utilizes Everyday Mathematics, Four Blocks Literacy Model.",-104.715873,38.723979
Jefferson Academy Elementary Charter School,9955 Yarrow St.,"Broomfield, CO 80021",303-438-1011,1994,373,K-6,Open,Fundamental academic education using Core Knowledge curriculum.,-105.085678,39.87723
Jefferson Academy Senior High,9955 Yarrow St.,"Broomfield, CO 80021",720-887-1992,1999,457,12-Jul,Open,Program employs a coordinated humanities curriculum and Core Knowledge Sequence.,-105.085678,39.87723
Justice High School,1777 6th St.,"Boulder, CO 80302",303-441-4862,2006,97,12-Aug,Open,Pre-collegiate program for at-risk youth that provides year-round education. Students must pass 2 college level courses and be accepted into 3 colleges to graduate.,-105.288866,40.014417
Justice High School - Denver,4760 Shoshone St.,"Denver, CO 80211",303-480-5610,2009,95,12-Jul,Open,"Provides year round college prep education, targeting at risk students and providing a classically based education.",-105.009198,39.782848
KIPP Colorado Collegiate High School,375 S. Tejon St,"Denver, CO 80223",303-623-5772,2009,128,9,Open,,-105.012591,39.7100269
KIPP Denver Collegiate High School,451 S. Tejon Street,"Denver, CO 80223",303-922-5324,2009,125,12-Aug,Open,College- preparatory program,-105.012646,39.710026
KIPP Sunshine Peak Academy,375 S. Tejon St.,"Denver, CO 80223",303-623-5772,2002,360,8-May,Open,Curriculum modeled on successful KIPP Academies in New York and Houston. Strong leadership and faculty that have high expectations of all students and a no excuses attitude.,-105.012591,39.7100269
Knowledge Quest Academy,705 S. School House Dr.,"Milliken, CO 80543",970-587-5742,2002,362,K-8,Open,Core Knowledge curriculum.,-104.8362418,40.3255471
Lake George Charter School,37888 US Hwy. 24,"Lake George, CO 80827",719-748-3911,1996,75,PreK-6,Open,Focus on Core Knowledge curriculum and strong discipline.,-105.36173,38.984259
Landmark Academy - Reunion,10566 Memphis St.,"Commerce City, CO 80022",303-287-2901,2007,406,K-5,Open,,-104.795186,39.888871
Legacy Charter Academy,823 S. Banner St.,"Elizabeth, CO 80107",303-646-2636,1997,350,K-8,Open,Core Knowledge Sequence. Supplemental part-time program available to home-schooling families in the area.,-104.5957506,39.3563487
Liberty Common High School,2745 Minnesota Dr.,"Fort Collins, CO 80525",970-482-9800,2010,90,10-Sep,Open,Uses Core Knowledge curriculum and the Classical Approach to learning.,-105.03281,40.55035
Liberty Common School,1725 Sharp Point Dr.,"Fort Collins, CO 80525",970-482-9800,1997,573,K-8,Open,Uses Core Knowledge curriculum and the Classical Approach to learning.,-105.030292,40.563375
Life Skills Center of Colorado Springs,1810 Eastlake Blvd,"Colorado Springs, CO 80910",719-471-0684,2004,269,12-Sep,Open,Alternative education charter for students whose lives might not work within the confines of traditional public schools,-104.793329,38.824021
Life Skills Center of Denver,1000 Cherokee St.,"Denver, CO 80204",720-889-2898,2003,308,12-Sep,Open,"Provides at-risk or dropout students with individualized, self-paced, computer-based educational experience leading to a recognized high school diploma.",-104.9915478,39.7322796
Lincoln Academy,6980 Pierce St.,"Arvada, CO 80003",303-467-5363,1997,487,K-8,Open,Core Knowledge Sequence.,-105.0718585,39.8231798
Littleton Academy,1200 W. Mineral Ave.,"Littleton, CO 80120",303-798-5252,1996,454,K-8,Open,Core Knowledge Sequence supported by technology. Provides an academically rigorous program in a caring environment.,-105.002818,39.572933
Littleton Preparatory Charter School,"5151 S. Federal Blvd., Ste. 1","Littleton, CO 80126",303-734-1995,1998,500,K-8,Open,"Program in reading, writing and math is based upon Engelmanns Direct Instruction (DI) Model. The Core Knowledge Sequence is also integrated into the curriculum.",-105.026196,39.623304
Lotus School for Excellence,"9202 E. Severn Pl., Building 901, 2nd Floor","Denver, CO 80230",303-360-0052,2006,150,7-Jun,Open,"College-prep school with Math, Science and Technology driven curriculum.",-104.8788166,39.7282902
Manny Martinez Middle School,951 Elasti St.,"Denver, CO 80204",303-893-7988,2009,209,8-Jun,Open,,-105.0404792,39.7430352
Marble Charter School,412 W. Main St.,"Marble, CO 81623",970-963-9550,1995,27,K-10,Open,Rigorous academic environment within a nurturing learning community.,-107.192119,39.0718424
Montessori Peaks Charter Academy,9904 W. Capri Ave.,"Littleton, CO 80123",303-972-2627,1997,400,PreK-6,Open,"Montessori-trained teachers, materials and curriculum are the foundation of the program. Individualized learning.",-105.108733,39.605168
Monument Academy,1150 Village Ridge Point,"Monument, CO 80132",719-481-1950,1996,550,PreK-8,Open,"Rigorous standards in a friendly, positive learning environment.",-104.8471899,39.0934327
Mountain Phoenix Community School,11398 Ranch Elsie Rd.,"Golden, CO 80403",303-642-7634,2007,47,K-8,Open,Uses Waldorf method for arts-based instruction. Multi-age classrooms.,-105.349526,39.901685
Mountain View Core Knowledge Charter School,890 Field Ave.,"Canon City, CO 81212",719-275-1980,1995,232,K-8,Open,Curriculum based upon the Core Knowledge Sequence.,-105.2086338,38.4646315
New America School - Aurora Campus,"9125 E. Seventh Place., Building 905","Denver, CO 80230",303-894-3150,2005,400,9-12+,Open,Intensive English language instruction to non-native English speaking students. Liberal arts education in pursuit of high school diploma or GED.,-104.8773773,39.7271984
New America School - Eagle Valley Campus,500 Red Table Dr.,"Gypsum, CO 81637",888-304-9943,2007,50,9-12+,Open,Intensive English language instruction to non-native English speaking students. Liberal arts education in pursuit of high school diploma or GED.,-106.941827,39.646042
New America School - Lakewood Campus,1005 Wadsworth Blvd.,"Lakewood, CO 80214",303-894-3170,2006,220,9-12+,Open,Intensive English language instruction to non-native English speaking students. Liberal arts education in pursuit of high school diploma or GED.,-105.0815462,39.733301
New America School - Northglenn Campus,11700 Irma Dr.,"Northglenn, CO 80233",303-991-0130,2004,200,9-12+,Open,Intensive English language instruction to non-native English speaking students. Liberal arts education in pursuit of high school diploma or GED.,-104.967349,39.908426
New Vision Charter School,2366 E. First St.,"Loveland, CO 80537",970-593-6827,2006,336,K-6,Open,Uses the Core Knowledge curriculum and Singapore Math. Will expand to 8th grade.,-105.044712,40.392017
North Routt Community Charter School,54200 CR 62,"Clark, CO 80428",970-871-6062,2003,68,K-8,Open,Project Based Learning. School joins with other charter schools in the Colorado Rural Charter Schools Network on project assignments.,-106.9441752,40.7280104
North Star Academy- East Campus,16700 Keystone Blvd.,"Parker, CO 80138",720-851-7827,2006,382,K-6,Open,Core Knowledge curriculum with an integrated Spanish language program.,-104.795914,39.537258
Northeast Academy,4895 Peoria St.,"Denver, CO 80239",303-307-8837,2004,459,K-8,Open,Core Knowledge curriculum with a focus on character education.,-104.848006,39.785603
Omar D. Blair School,4905 Calhay St.,"Denver, CO 80249",303-371-9570,2004,763,K-8,Open,"Integrated curriculum in an Academy structure, in which students work with teacher teams for two to three years at a time.",-105.0205003,39.7857493
P.S. 1 Charter,1062 Delaware St.,"Denver, CO 80204",303-575-6690,1995,275,12-Jun,Open,"Interdisciplinary projects related to urban issues. Students have individualized learning plans. Offers workshops in math, science, the arts and humanities.",-104.99261,39.733535
Paradox Valley School,21501 Six Mile Road,"Paradox, CO 81429",970-859-7236,1999,38,PreK-8,Open,Provides multi-age classrooms with low teacher-to-student ratios to maximize individual attention.,-109.0422667,38.423892
